lt_band,n,pred_noshow,actual_cancel,adr,overbook_buffer_pct
<=7d,5821,0.08409990644098296,0.08778560384813607,88.0,8.4
8-30d,6358,0.15945340791580348,0.30528468071720666,108.0,15.9
31-90d,9413,0.2390014776455233,0.42303197705301177,106.2,23.9
91-180d,10691,0.2865025068937995,0.4661865120194556,117.0,28.7
>180d,8404,0.301736889945456,0.5148738695859115,106.2,30.2
