archetype,archetype_label,walk_difficulty,initial_offer,n_runs,accept_rate,counter_mean,r1_parse_ok
A,Business Solo,low,62.0,1,1.0,,1.0
A,Business Solo,low,101.0,5,1.0,,1.0
A,Business Solo,low,144.0,7,1.0,,1.0
