window,cutoff_week,n_train,n_test,model,seed,hp,pr_auc,brier,cost_r2,cost_r5,cost_r10
cumulative,28,844,2894,Dummy,42,const,0.46510020732550106,0.46510020732550106,0.9302004146510021,2.325501036627505,4.65100207325501
cumulative,28,844,2894,Logistic Regression,42,C=1.0,0.905188537589146,0.1613718150782166,0.43158258465791294,1.0494125777470629,2.0791292328956463
cumulative,28,844,2894,Random Forest,42,depth=20,0.9134980579464204,0.1191741232390078,0.3199723565998618,0.7760884588804423,1.5362819626814097
cumulative,28,844,2894,XGBoost,42,depth=9,0.9070870633950268,0.13923797011375427,0.3151347615756738,0.7546648237733241,1.4872149274360746
cumulative,28,844,2894,LightGBM,42,leaves=31,0.8989044960472211,0.16117890358031567,0.3203178991015895,0.7121630960608155,1.3652384243261921
cumulative,28,844,2894,Dummy,7,const,0.46510020732550106,0.46510020732550106,0.9302004146510021,2.325501036627505,4.65100207325501
cumulative,28,844,2894,Logistic Regression,7,C=1.0,0.905188537589146,0.1613718150782166,0.43158258465791294,1.0494125777470629,2.0791292328956463
cumulative,28,844,2894,Random Forest,7,depth=10,0.9146622056876592,0.11919174522699622,0.35210780926053903,0.8673116793365584,1.725984796129924
cumulative,28,844,2894,XGBoost,7,depth=9,0.9070870633950268,0.13923797011375427,0.3151347615756738,0.7546648237733241,1.4872149274360746
cumulative,28,844,2894,LightGBM,7,leaves=31,0.8989044960472211,0.16117890358031567,0.3203178991015895,0.7121630960608155,1.3652384243261921
cumulative,28,844,2894,Dummy,123,const,0.46510020732550106,0.46510020732550106,0.9302004146510021,2.325501036627505,4.65100207325501
cumulative,28,844,2894,Logistic Regression,123,C=1.0,0.905188537589146,0.1613718150782166,0.43158258465791294,1.0494125777470629,2.0791292328956463
cumulative,28,844,2894,Random Forest,123,depth=None,0.9208196869396983,0.11392639217870927,0.3185901865929509,0.7767795438838977,1.5404284727021424
cumulative,28,844,2894,XGBoost,123,depth=9,0.9070870633950268,0.13923797011375427,0.3151347615756738,0.7546648237733241,1.4872149274360746
cumulative,28,844,2894,LightGBM,123,leaves=31,0.8989044960472211,0.16117890358031567,0.3203178991015895,0.7121630960608155,1.3652384243261921
