model,pr_auc,brier
LightGBM,0.6847151599710003,0.2001818375947526
XGBoost,0.6785460587427582,0.20135602355003357
Logistic Regression,0.660877066375025,0.20786800833917146
Random Forest,0.6595425317743798,0.20262520668230743
Dummy,0.4745741883156782,0.4745741883156782
