window,cutoff_week,n_train,model,seed,hp,pr_auc,brier,cost_r2,cost_r5,cost_r10
cumulative,28,844,Dummy,42,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,28,844,Logistic Regression,42,C=1.0,0.4776131796142207,0.3256905215521974,0.6799469117900067,1.5776537960527932,3.073831936490771
cumulative,28,844,Random Forest,42,depth=20,0.42141014282407663,0.24194095509748823,0.7709587829036302,1.904687000761914,3.794234030525721
cumulative,28,844,XGBoost,42,depth=9,0.4116933204391013,0.3262099325656891,0.7229336151596333,1.6499127485437608,3.1948779708506403
cumulative,28,844,LightGBM,42,leaves=31,0.3590818240132173,0.4574033799306214,0.7676899255290388,1.439550716445056,2.5593187013050853
cumulative,28,844,Dummy,7,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,28,844,Logistic Regression,7,C=1.0,0.4776131796142207,0.3256905215521974,0.6799469117900067,1.5776537960527932,3.073831936490771
cumulative,28,844,Random Forest,7,depth=10,0.4175775640924556,0.24371001721580207,0.7709833607786271,1.885983237889252,3.7443163664069603
cumulative,28,844,XGBoost,7,depth=9,0.4116933204391013,0.3262099325656891,0.7229336151596333,1.6499127485437608,3.1948779708506403
cumulative,28,844,LightGBM,7,leaves=31,0.3590818240132173,0.4574033799306214,0.7676899255290388,1.439550716445056,2.5593187013050853
cumulative,28,844,Dummy,123,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,28,844,Logistic Regression,123,C=1.0,0.4776131796142207,0.3256905215521974,0.6799469117900067,1.5776537960527932,3.073831936490771
cumulative,28,844,Random Forest,123,depth=None,0.43661278307659146,0.23782560044974183,0.7695824219038022,1.9038267751370217,3.794234030525721
cumulative,28,844,XGBoost,123,depth=9,0.4116933204391013,0.3262099325656891,0.7229336151596333,1.6499127485437608,3.1948779708506403
cumulative,28,844,LightGBM,123,leaves=31,0.3590818240132173,0.4574033799306214,0.7676899255290388,1.439550716445056,2.5593187013050853
cumulative,29,1537,Dummy,42,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,29,1537,Logistic Regression,42,C=10.0,0.5038671465002533,0.3696648366501065,0.7542704057807162,1.853343819893332,3.685132843414358
cumulative,29,1537,Random Forest,42,depth=None,0.44145370131034306,0.23998604659410094,0.7613242559048344,1.848895224518888,3.661513505542311
cumulative,29,1537,XGBoost,42,depth=9,0.4536128760513799,0.3092007637023926,0.6911052670386119,1.5806277189274216,3.063165138742104
cumulative,29,1537,LightGBM,42,leaves=31,0.3826934270696332,0.40240792839439055,0.7269889645341264,1.5044363064369455,2.8001818762749773
cumulative,29,1537,Dummy,7,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,29,1537,Logistic Regression,7,C=10.0,0.5038671465002533,0.3696648366501065,0.7542704057807162,1.853343819893332,3.685132843414358
cumulative,29,1537,Random Forest,7,depth=10,0.43682331576034145,0.23824628275001378,0.7668542777791432,1.8746282596406714,3.720918229409885
cumulative,29,1537,XGBoost,7,depth=9,0.4536128760513799,0.3092007637023926,0.6911052670386119,1.5806277189274216,3.063165138742104
cumulative,29,1537,LightGBM,7,leaves=31,0.3826934270696332,0.40240792839439055,0.7269889645341264,1.5044363064369455,2.8001818762749773
cumulative,29,1537,Dummy,123,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,29,1537,Logistic Regression,123,C=10.0,0.5038671465002533,0.3696648366501065,0.7542704057807162,1.853343819893332,3.685132843414358
cumulative,29,1537,Random Forest,123,depth=None,0.43448995052432177,0.23970349233884344,0.7658465849042692,1.8804777938899402,3.7381964755327255
cumulative,29,1537,XGBoost,123,depth=9,0.4536128760513799,0.3092007637023926,0.6911052670386119,1.5806277189274216,3.063165138742104
cumulative,29,1537,LightGBM,123,leaves=31,0.3826934270696332,0.40240792839439055,0.7269889645341264,1.5044363064369455,2.8001818762749773
cumulative,30,2307,Dummy,42,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,30,2307,Logistic Regression,42,C=10.0,0.46675984710314417,0.3757185207026784,0.75368053678079,1.857104234767862,3.696143731412982
cumulative,30,2307,Random Forest,42,depth=10,0.5147412334345718,0.222692208825604,0.7716469634035441,1.9190896355101137,3.831494089021063
cumulative,30,2307,XGBoost,42,depth=3,0.5001055569870809,0.2830337584018707,0.7209182294098853,1.7481013591564873,3.460073242067491
cumulative,30,2307,LightGBM,42,leaves=15,0.507599611490011,0.29127866667870306,0.7166416791604198,1.7582028657802247,3.494138176813233
cumulative,30,2307,Dummy,7,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,30,2307,Logistic Regression,7,C=10.0,0.46675984710314417,0.3757185207026784,0.75368053678079,1.857104234767862,3.696143731412982
cumulative,30,2307,Random Forest,7,depth=10,0.4807599718303949,0.22428568163363263,0.7701722909037285,1.9114213385110723,3.813503084523312
cumulative,30,2307,XGBoost,7,depth=3,0.5001055569870809,0.2830337584018707,0.7209182294098853,1.7481013591564873,3.460073242067491
cumulative,30,2307,LightGBM,7,leaves=15,0.507599611490011,0.29127866667870306,0.7166416791604198,1.7582028657802247,3.494138176813233
cumulative,30,2307,Dummy,123,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,30,2307,Logistic Regression,123,C=10.0,0.46675984710314417,0.3757185207026784,0.75368053678079,1.857104234767862,3.696143731412982
cumulative,30,2307,Random Forest,123,depth=10,0.5116202480532168,0.22248461637544578,0.7700248236537469,1.91496055251063,3.8231867672721016
cumulative,30,2307,XGBoost,123,depth=3,0.5001055569870809,0.2830337584018707,0.7209182294098853,1.7481013591564873,3.460073242067491
cumulative,30,2307,LightGBM,123,leaves=15,0.507599611490011,0.29127866667870306,0.7166416791604198,1.7582028657802247,3.494138176813233
cumulative,31,2886,Dummy,42,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,31,2886,Logistic Regression,42,C=1.0,0.533040989845512,0.3398590838652599,0.7566298817804212,1.8603485142674565,3.699879568412515
cumulative,31,2886,Random Forest,42,depth=20,0.5457322167069808,0.22191409418670308,0.7685993069039251,1.9096271536362965,3.8113402315235825
cumulative,31,2886,XGBoost,42,depth=9,0.5844057636108538,0.3155527114868164,0.6925553616634306,1.7045493646619314,3.3912060363260994
cumulative,31,2886,LightGBM,42,leaves=63,0.5344967536318672,0.30481162668616135,0.6917934475385258,1.6883771229139528,3.3493499152063313
cumulative,31,2886,Dummy,7,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,31,2886,Logistic Regression,7,C=1.0,0.533040989845512,0.3398590838652599,0.7566298817804212,1.8603485142674565,3.699879568412515
cumulative,31,2886,Random Forest,7,depth=20,0.580979360238618,0.22170246342641253,0.7713028731535871,1.9201464841349818,3.8348858357706392
cumulative,31,2886,XGBoost,7,depth=9,0.5844057636108538,0.3155527114868164,0.6925553616634306,1.7045493646619314,3.3912060363260994
cumulative,31,2886,LightGBM,7,leaves=63,0.5344967536318672,0.30481162668616135,0.6917934475385258,1.6883771229139528,3.3493499152063313
cumulative,31,2886,Dummy,123,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,31,2886,Logistic Regression,123,C=1.0,0.533040989845512,0.3398590838652599,0.7566298817804212,1.8603485142674565,3.699879568412515
cumulative,31,2886,Random Forest,123,depth=None,0.5851578329649838,0.2230819504992411,0.7675670361540541,1.908521149261435,3.810111337773736
cumulative,31,2886,XGBoost,123,depth=9,0.5844057636108538,0.3155527114868164,0.6925553616634306,1.7045493646619314,3.3912060363260994
cumulative,31,2886,LightGBM,123,leaves=63,0.5344967536318672,0.30481162668616135,0.6917934475385258,1.6883771229139528,3.3493499152063313
cumulative,32,3738,Dummy,42,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,32,3738,Logistic Regression,42,C=10.0,0.5255829503298332,0.31818435648694,0.7185341755351832,1.75368053678079,3.4789244721901342
cumulative,32,3738,Random Forest,42,depth=None,0.5737328711477323,0.239746082646127,0.7721139430284858,1.9228746282596407,3.840809103644899
cumulative,32,3738,XGBoost,42,depth=3,0.5525265110983164,0.30546852946281433,0.7252439354093445,1.7902524147762184,3.5652665470543417
cumulative,32,3738,LightGBM,42,leaves=15,0.5474798620046701,0.30225465561410414,0.6984294737876963,1.7242853982844644,3.4340452724457444
cumulative,32,3738,Dummy,7,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,32,3738,Logistic Regression,7,C=10.0,0.5255829503298332,0.31818435648694,0.7185341755351832,1.75368053678079,3.4789244721901342
cumulative,32,3738,Random Forest,7,depth=20,0.5931663532302263,0.2298528030246536,0.771007938653624,1.9210312876348712,3.837736869270283
cumulative,32,3738,XGBoost,7,depth=3,0.5525265110983164,0.30546852946281433,0.7252439354093445,1.7902524147762184,3.5652665470543417
cumulative,32,3738,LightGBM,7,leaves=15,0.5474798620046701,0.30225465561410414,0.6984294737876963,1.7242853982844644,3.4340452724457444
cumulative,32,3738,Dummy,123,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,32,3738,Logistic Regression,123,C=10.0,0.5255829503298332,0.31818435648694,0.7185341755351832,1.75368053678079,3.4789244721901342
cumulative,32,3738,Random Forest,123,depth=None,0.5880471590658097,0.23854789639283405,0.7734657261533168,1.925848551134269,3.8464865927691894
cumulative,32,3738,XGBoost,123,depth=3,0.5525265110983164,0.30546852946281433,0.7252439354093445,1.7902524147762184,3.5652665470543417
cumulative,32,3738,LightGBM,123,leaves=15,0.5474798620046701,0.30225465561410414,0.6984294737876963,1.7242853982844644,3.4340452724457444
cumulative,33,4906,Dummy,42,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,33,4906,Logistic Regression,42,C=10.0,0.5259290883256587,0.31633114450710276,0.7266694521591663,1.776046403027994,3.525007987809374
cumulative,33,4906,Random Forest,42,depth=10,0.5991195747758329,0.230988760046473,0.7752107552780987,1.9321650650084794,3.8604222478924473
cumulative,33,4906,XGBoost,42,depth=9,0.5575463154742824,0.3179640769958496,0.7062698159117162,1.7420060461572493,3.468233096566471
cumulative,33,4906,LightGBM,42,leaves=63,0.555207510264235,0.3106235886440265,0.6995109002875611,1.721385209034827,3.4245090569469365
cumulative,33,4906,Dummy,7,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,33,4906,Logistic Regression,7,C=10.0,0.5259290883256587,0.31633114450710276,0.7266694521591663,1.776046403027994,3.525007987809374
cumulative,33,4906,Random Forest,7,depth=None,0.5938026875437944,0.23558543000871957,0.7720156315284981,1.9238823211345146,3.8436601371445427
cumulative,33,4906,XGBoost,7,depth=9,0.5575463154742824,0.3179640769958496,0.7062698159117162,1.7420060461572493,3.468233096566471
cumulative,33,4906,LightGBM,7,leaves=63,0.555207510264235,0.3106235886440265,0.6995109002875611,1.721385209034827,3.4245090569469365
cumulative,33,4906,Dummy,123,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,33,4906,Logistic Regression,123,C=10.0,0.5259290883256587,0.31633114450710276,0.7266694521591663,1.776046403027994,3.525007987809374
cumulative,33,4906,Random Forest,123,depth=None,0.5914980867432189,0.23420113526400654,0.7691154422788605,1.91559957726055,3.826406468896699
cumulative,33,4906,XGBoost,123,depth=9,0.5575463154742824,0.3179640769958496,0.7062698159117162,1.7420060461572493,3.468233096566471
cumulative,33,4906,LightGBM,123,leaves=63,0.555207510264235,0.3106235886440265,0.6995109002875611,1.721385209034827,3.4245090569469365
cumulative,34,5676,Dummy,42,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,34,5676,Logistic Regression,42,C=10.0,0.5415213605439019,0.31042725960830975,0.7278983459090127,1.7881878732764764,3.555337085555583
cumulative,34,5676,Random Forest,42,depth=10,0.608381972487151,0.2344670802102716,0.7725317669034335,1.9296335438837957,3.858136505517733
cumulative,34,5676,XGBoost,42,depth=6,0.5837897108608776,0.31486719846725464,0.7232285496595964,1.7888268980263966,3.564824145304397
cumulative,34,5676,LightGBM,42,leaves=63,0.549988301221087,0.3076750163916713,0.6957750632880281,1.7135202890358099,3.4097623319487798
cumulative,34,5676,Dummy,7,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
