date,n,noshow_rate,obk_pct_r0.5,obk_pct_r1.0,obk_pct_r2.0
2017-01-01,128,0.2646048269203497,0.2789611917930187,0.2646048269203497,0.2502484620476807
2017-01-02,179,0.10745033559817282,0.11672241387975757,0.10745033559817282,0.09817825731658805
2017-01-03,124,0.09296806682618103,0.10330068027772694,0.09296806682618103,0.0826354533746351
2017-01-04,96,0.10412976437563722,0.11616989696302653,0.10412976437563722,0.09208963178824792
2017-01-05,98,0.2576178970028997,0.2678443283504854,0.2576178970028997,0.247391465655314
2017-01-06,112,0.09988918580846774,0.11117437058843065,0.09988918580846774,0.08860400102850484
2017-01-07,83,0.14179730862529707,0.155780625376232,0.14179730862529707,0.12781399187436215
2017-01-08,110,0.3239215887312817,0.3329155072415975,0.3239215887312817,0.31492767022096585
2017-01-09,77,0.0946323644494533,0.1081062019371569,0.0946323644494533,0.0811585269617497
2017-01-10,99,0.09624645874602535,0.10777651112457873,0.09624645874602535,0.08471640636747195
2017-01-11,61,0.07383725568667196,0.08758917148354249,0.07383725568667196,0.06008533988980142
2017-01-12,138,0.19896865176901332,0.2073844258997786,0.19896865176901332,0.19055287763824805
2017-01-13,92,0.18561334116129044,0.19946568262929001,0.18561334116129044,0.17176099969329084
2017-01-14,244,0.26578385172686514,0.276789556809999,0.26578385172686514,0.25477814664373133
2017-01-15,67,0.15013604414277046,0.1666830072086181,0.15013604414277046,0.13358908107692283
2017-01-16,193,0.3033187194512302,0.31511322847440737,0.3033187194512302,0.291524210428053
2017-01-17,69,0.07730747864165251,0.09077907942662847,0.07730747864165251,0.06383587785667656
2017-01-18,219,0.29460058520965515,0.30333329447364094,0.29460058520965515,0.28586787594566937
2017-01-19,123,0.21248039991192366,0.22192436988181116,0.21248039991192366,0.20303642994203616
2017-01-20,84,0.13680322027094252,0.15154247085836894,0.13680322027094252,0.12206396968351611
2017-01-21,115,0.14155558985989203,0.1533746500649145,0.14155558985989203,0.12973652965486954
2017-01-22,89,0.09510858304928123,0.10784417423695386,0.09510858304928123,0.0823729918616086
2017-01-23,172,0.49108285065562185,0.49916538757234147,0.49108285065562185,0.48300031373890223
2017-01-24,87,0.1200825856509268,0.134265987907165,0.1200825856509268,0.1058991833946886
2017-01-25,191,0.46916413489224307,0.47720685734537455,0.46916413489224307,0.46112141243911164
2017-01-26,114,0.2286912363241108,0.23802844398691142,0.2286912363241108,0.2193540286613102
2017-01-27,150,0.12943515080049045,0.13942226759564028,0.12943515080049045,0.11944803400534061
2017-01-28,111,0.13193229286188984,0.14415144586677625,0.13193229286188984,0.11971313985700345
2017-01-29,71,0.11860285328626942,0.13307360234594653,0.11860285328626942,0.10413210422659228
2017-01-30,111,0.10236374662877687,0.11314650304075348,0.10236374662877687,0.09158099021680026
2017-01-31,74,0.08575135985400782,0.09888696310880848,0.08575135985400782,0.07261575659920715
2017-02-01,153,0.49340648648714264,0.5020443098799198,0.49340648648714264,0.4847686630943655
2017-02-02,133,0.20407458379590482,0.2135318913857889,0.20407458379590482,0.19461727620602076
2017-02-03,122,0.10881683317527167,0.11991233484972741,0.10881683317527167,0.09772133150081595
2017-02-04,154,0.10735716690244804,0.11693454342134049,0.10735716690244804,0.0977797903835556
2017-02-05,91,0.08928435465380989,0.1011119239843935,0.08928435465380989,0.07745678532322627
2017-02-06,108,0.15477569445018022,0.16793685704398253,0.15477569445018022,0.14161453185637787
2017-02-07,78,0.10571079272237571,0.11921587747524957,0.10571079272237571,0.09220570796950184
2017-02-08,73,0.12791146495314576,0.1414246258562332,0.12791146495314576,0.11439830405005832
2017-02-09,146,0.21600519618806938,0.22586335408084374,0.21600519618806938,0.20614703829529502
2017-02-10,187,0.2639099225434185,0.2727340859936822,0.2639099225434185,0.25508575909315473
2017-02-11,129,0.14569441167095168,0.15755529087956113,0.14569441167095168,0.13383353246234223
2017-02-12,201,0.39011778635105954,0.3981448928034415,0.39011778635105954,0.38209067989867757
2017-02-13,193,0.12012896480814171,0.12907183237516692,0.12012896480814171,0.1111860972411165
2017-02-14,151,0.14490444967541555,0.15588983838279138,0.14490444967541555,0.13391906096803968
2017-02-15,148,0.07400008574702135,0.0825114544511809,0.07400008574702135,0.06548871704286179
2017-02-16,129,0.20246776954012832,0.2112997367114985,0.20246776954012832,0.19363580236875816
2017-02-17,210,0.16451302434834675,0.17414024219784563,0.16451302434834675,0.1548858064988479
2017-02-18,128,0.15324318319886163,0.16544434657716475,0.15324318319886163,0.1410420198205585
2017-02-19,135,0.0944006006495231,0.10401937266988157,0.0944006006495231,0.08478182862916464
2017-02-20,174,0.18473966692527521,0.19321778923806363,0.18473966692527521,0.17626154461248678
2017-02-21,106,0.11475730070975301,0.1266915047289741,0.11475730070975301,0.10282309669053191
2017-02-22,170,0.08211400185158062,0.09029251930758359,0.08211400185158062,0.07393548439557765
2017-02-23,170,0.2925322961189791,0.3023873034291338,0.2925322961189791,0.2826772888088244
2017-02-24,152,0.15125135058050945,0.1622373022786598,0.15125135058050945,0.14026539888235912
2017-02-25,316,0.2991933294086487,0.308603232923965,0.2991933294086487,0.28978342589333234
2017-02-26,185,0.1584590520304393,0.16869272147857883,0.1584590520304393,0.1482253825822998
2017-02-27,133,0.10178674287614121,0.11232589549863438,0.10178674287614121,0.09124759025364805
2017-02-28,102,0.28901710524143653,0.3007272180483928,0.28901710524143653,0.2773069924344802
2017-03-01,144,0.22724266242186542,0.23695431310270335,0.22724266242186542,0.21753101174102743
2017-03-02,335,0.3656576157229588,0.3713679119048455,0.3656576157229588,0.35994731954107206
