model,variant,n_features,pr_auc,ci_low,ci_high,brier,f1@0.65
LightGBM,with,70,0.8188847599426008,0.8134214307503066,0.8240446722119337,0.1503843117221003,0.6475007666360012
LightGBM,drop,59,0.7782549547714159,0.7723130252327718,0.784040059203778,0.16438410250875932,0.5930723739791608
LightGBM,is_domestic,60,0.8107140444210785,0.8054703417055042,0.8160956206525413,0.15395255424000318,0.6397756521071031
Logistic Regression,with,70,0.7817996429891408,0.7751098119730382,0.7888870059200044,0.15830615427304404,0.6695060844667143
Logistic Regression,drop,59,0.7389421114478774,0.7318705151584646,0.7460030615070503,0.1740732850172465,0.5683514869660996
Logistic Regression,is_domestic,60,0.7755512433234932,0.7688430623490686,0.7822013688755789,0.16186136586529248,0.6709916589434661
