window,cutoff_week,n_train,model,pr_auc,pr_auc_sd,brier,ci_low,ci_high
cumulative,28,844,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,28,844,LightGBM,0.35908182401321725,0.0,0.4574033799306214,0.3530301000235928,0.3651376300871715
cumulative,28,844,Logistic Regression,0.4776131796142207,0.0,0.3256905215521974,0.47008375540477093,0.48542743073361644
cumulative,28,844,Random Forest,0.4252001633310412,0.01006767510530166,0.24115885758767738,,
cumulative,28,844,XGBoost,0.4116933204391013,0.0,0.3262099325656891,,
cumulative,29,1537,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,29,1537,LightGBM,0.3826934270696332,0.0,0.4024079283943906,0.3762622222160755,0.38912241529998287
cumulative,29,1537,Logistic Regression,0.5038671465002533,0.0,0.3696648366501065,0.49583364465520335,0.5115152882048914
cumulative,29,1537,Random Forest,0.4375889891983354,0.003544453147199188,0.23931194056098604,,
cumulative,29,1537,XGBoost,0.45361287605137984,0.0,0.3092007637023926,,
cumulative,30,2307,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,30,2307,LightGBM,0.507599611490011,0.0,0.29127866667870306,0.5002066913255506,0.5158221573352583
cumulative,30,2307,Logistic Regression,0.46675984710314417,0.0,0.37571852070267847,0.4593643979857597,0.47540758763916957
cumulative,30,2307,Random Forest,0.5023738177727278,0.018783074555349936,0.22315416894489415,,
cumulative,30,2307,XGBoost,0.5001055569870809,0.0,0.2830337584018707,,
cumulative,31,2886,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,31,2886,LightGBM,0.5344967536318672,0.0,0.30481162668616135,0.5268378333004271,0.5429105322142834
cumulative,31,2886,Logistic Regression,0.533040989845512,0.0,0.3398590838652599,0.5255595441786377,0.5407730089974919
cumulative,31,2886,Random Forest,0.5706231366368608,0.021657177327574863,0.22223283603745222,,
cumulative,31,2886,XGBoost,0.5844057636108538,0.0,0.3155527114868164,,
cumulative,32,3738,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,32,3738,LightGBM,0.5474798620046701,0.0,0.30225465561410414,0.5393418159401359,0.555675629192221
cumulative,32,3738,Logistic Regression,0.5255829503298332,0.0,0.31818435648694,0.5172888479991138,0.5340691066399667
cumulative,32,3738,Random Forest,0.5849821278145894,0.010072778608252599,0.23604892735453822,,
cumulative,32,3738,XGBoost,0.5525265110983164,0.0,0.30546852946281433,,
cumulative,33,4906,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,33,4906,LightGBM,0.555207510264235,0.0,0.3106235886440265,0.5462185915802558,0.563205359532349
cumulative,33,4906,Logistic Regression,0.5259290883256587,0.0,0.31633114450710276,0.5180182322940654,0.5341268424526462
cumulative,33,4906,Random Forest,0.5948067830209487,0.003908698728893099,0.2335917751063997,,
cumulative,33,4906,XGBoost,0.5575463154742824,0.0,0.3179640769958496,,
cumulative,34,5676,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,34,5676,LightGBM,0.549988301221087,0.0,0.3076750163916713,0.5416076455507368,0.5585528468179812
cumulative,34,5676,Logistic Regression,0.5415213605439019,0.0,0.31042725960830975,0.5336918946342785,0.5498418494329015
cumulative,34,5676,Random Forest,0.6166703922543023,0.023421644951967423,0.2307050952657355,,
cumulative,34,5676,XGBoost,0.5837897108608776,0.0,0.31486719846725464,,
cumulative,35,6449,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,35,6449,LightGBM,0.5618763712574223,0.0,0.29188578859614067,0.5531327256793444,0.5704588581562426
cumulative,35,6449,Logistic Regression,0.6152889140912765,0.0,0.2884477127437649,0.606780201477356,0.62443046559925
cumulative,35,6449,Random Forest,0.6123076365188057,0.015104689714999037,0.23482580307043618,,
cumulative,35,6449,XGBoost,0.5899849043491459,0.0,0.3079043924808502,,
cumulative,36,7480,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,36,7480,LightGBM,0.6042892607278394,0.0,0.28217249659089577,0.5960908737179496,0.6124961544048401
cumulative,36,7480,Logistic Regression,0.649245433976654,0.0,0.2752743633740197,0.6412416682346257,0.6575250931206362
cumulative,36,7480,Random Forest,0.6351949002794547,0.0187459556561201,0.23677819750014928,,
cumulative,36,7480,XGBoost,0.6033636633963719,0.0,0.29103222489356995,,
cumulative,37,8612,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,37,8612,LightGBM,0.6034590487258993,0.0,0.2839236311046964,0.5947018514233803,0.6117447517752777
cumulative,37,8612,Logistic Regression,0.6483592150751861,0.0,0.2562671410629422,0.6400250139141527,0.6570109865170704
cumulative,37,8612,Random Forest,0.6327554137444674,0.010646117357202252,0.23197717165234358,,
cumulative,37,8612,XGBoost,0.6444900568174239,0.0,0.27266979217529297,,
cumulative,38,9983,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,38,9983,LightGBM,0.5867549212041121,0.0,0.3016988345516989,0.578028667471034,0.5955913832039477
cumulative,38,9983,Logistic Regression,0.5816162560020183,0.0,0.27106558463027924,0.5734912454806855,0.5901217685566374
cumulative,38,9983,Random Forest,0.622756108719893,0.005341790412946354,0.24217924912560115,,
cumulative,38,9983,XGBoost,0.6252751564365114,0.0,0.2840527296066284,,
cumulative,39,11287,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,39,11287,LightGBM,0.600109295179521,0.0,0.28808978148761694,0.5921598452835101,0.6085215710675828
cumulative,39,11287,Logistic Regression,0.5870330602328304,0.0,0.2632969727153208,0.5796029118434741,0.5958415013725828
cumulative,39,11287,Random Forest,0.6219684939148511,0.008930875842720957,0.24460544473784085,,
cumulative,39,11287,XGBoost,0.6491700398069713,0.0,0.2792011499404907,,
cumulative,40,12315,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,40,12315,LightGBM,0.617255251213191,0.0,0.2777779828696893,0.6085364545303122,0.6256766312349367
cumulative,40,12315,Logistic Regression,0.5965676289646882,0.0,0.26220910875123454,0.5891874955530583,0.6052667620238135
cumulative,40,12315,Random Forest,0.6304719719690076,0.009010333109910578,0.24108803551640778,,
cumulative,40,12315,XGBoost,0.6513681018041644,0.0,0.269741415977478,,
cumulative,41,13716,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,41,13716,LightGBM,0.6423022372906104,0.0,0.2667443903200575,0.6344090660722569,0.6501330395776086
cumulative,41,13716,Logistic Regression,0.6391845286402075,0.0,0.2548110902368093,0.6304241658951092,0.6476652255577835
cumulative,41,13716,Random Forest,0.6303086313725922,0.017175798196213628,0.23981886321892953,,
cumulative,41,13716,XGBoost,0.6432126118908041,0.0,0.2633066773414612,,
cumulative,42,14938,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,42,14938,LightGBM,0.656803423283127,0.0,0.2617799021073765,0.6490142858505901,0.6648968926871239
cumulative,42,14938,Logistic Regression,0.66564464220303,0.0,0.23884957875016297,0.6578373628012084,0.6733637923876926
cumulative,42,14938,Random Forest,0.6382179007221904,0.015898221680495653,0.23883592302313472,,
cumulative,42,14938,XGBoost,0.6895910989174266,0.0,0.2488711029291153,,
cumulative,43,15870,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,43,15870,LightGBM,0.6479186406236861,0.0,0.2630795913489024,0.63944890323432,0.6557447779359574
cumulative,43,15870,Logistic Regression,0.7005081311830478,0.0,0.23165031901936547,0.6927711840357453,0.7085901454974917
cumulative,43,15870,Random Forest,0.6461566923287009,0.017104045252292255,0.23828441913648457,,
cumulative,43,15870,XGBoost,0.6692857436186994,0.0,0.2579054534435272,,
cumulative,44,16736,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,44,16736,LightGBM,0.642889819231331,0.0,0.2706508713906383,0.6344312733760302,0.6509799731729982
cumulative,44,16736,Logistic Regression,0.7033234882683557,0.0,0.23998829506946381,0.6958861922496667,0.7112347241084589
cumulative,44,16736,Random Forest,0.6651899522986189,0.023179528146149094,0.2355048722367291,,
cumulative,44,16736,XGBoost,0.6697365807902306,0.0,0.2700870931148529,,
cumulative,45,17281,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,45,17281,LightGBM,0.6436182153221336,0.0,0.2845326870149902,0.6353381105011707,0.6515657517612218
cumulative,45,17281,Logistic Regression,0.7018666428063055,0.0,0.24212576223380874,0.6944162378142945,0.7092651268833147
cumulative,45,17281,Random Forest,0.6561653176728499,0.007724775657865479,0.2365769107823059,,
cumulative,45,17281,XGBoost,0.6391454835208248,0.0,0.28748926520347595,,
cumulative,46,17702,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,46,17702,LightGBM,0.6489188521257189,0.0,0.2691001975736002,0.6417331134541607,0.6567076735208588
cumulative,46,17702,Logistic Regression,0.6990389771361448,0.0,0.24453404060905423,0.6911873209212307,0.706743910844327
cumulative,46,17702,Random Forest,0.6493619342190965,0.006475000360396578,0.2417657241764893,,
cumulative,46,17702,XGBoost,0.676079186250658,0.0,0.2642228603363037,,
cumulative,47,18386,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,47,18386,LightGBM,0.6474131185757026,0.0,0.27471466871817046,0.6390734084648518,0.6555225503642529
cumulative,47,18386,Logistic Regression,0.6996311066879063,0.0,0.2407862589860189,0.6917203359927955,0.7071125634174908
cumulative,47,18386,Random Forest,0.6658914776291653,0.01925634451308144,0.23650267203925013,,
cumulative,47,18386,XGBoost,0.6737641981449544,0.0,0.2659241855144501,,
cumulative,48,19000,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,48,19000,LightGBM,0.6557949842529963,0.0,0.2634536229557499,0.6478916798716703,0.6626660570545796
cumulative,48,19000,Logistic Regression,0.7016672266206281,0.0,0.23936111865474344,0.693705456294801,0.7091430496744185
cumulative,48,19000,Random Forest,0.6545919584995096,0.02691707289335003,0.23838863680543512,,
cumulative,48,19000,XGBoost,0.6422331465130596,0.0,0.28244972229003906,,
cumulative,49,19845,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,49,19845,LightGBM,0.6402357342364429,0.0,0.27845548422112637,0.6325440235069757,0.6481688807784758
cumulative,49,19845,Logistic Regression,0.7057710127501293,0.0,0.24221407990219582,0.6981045469248426,0.7138537223535777
cumulative,49,19845,Random Forest,0.649768569763594,0.0017947554431802593,0.24188334849957147,,
cumulative,49,19845,XGBoost,0.6249716620129419,0.0,0.3077436089515686,,
cumulative,50,20452,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,50,20452,LightGBM,0.6420291078758431,0.0,0.273154091363668,0.6337140613031068,0.6499945669509881
cumulative,50,20452,Logistic Regression,0.707095327773064,0.0,0.24032343713576343,0.6993054817439188,0.7149173818134841
cumulative,50,20452,Random Forest,0.6846913144612826,0.00498922755404201,0.22808841354107814,,
cumulative,50,20452,XGBoost,0.6706169399300373,0.0,0.26208990812301636,,
cumulative,51,20767,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,51,20767,LightGBM,0.6300229064169227,0.0,0.2852304811728879,0.6217268658828097,0.6378687361409227
cumulative,51,20767,Logistic Regression,0.7114753310189309,0.0,0.2334199749581675,0.704245085130062,0.7186495160935781
cumulative,51,20767,Random Forest,0.6618367661883043,0.021327694344031006,0.23680372063181795,,
cumulative,51,20767,XGBoost,0.641259811956238,0.0,0.29360634088516235,,
cumulative,52,21257,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,52,21257,LightGBM,0.6396987628688088,0.0,0.2852587528673761,0.6314074283785199,0.6479337937376887
cumulative,52,21257,Logistic Regression,0.7115927770743792,0.0,0.23500798667238199,0.7038548184240239,0.7191221091709565
cumulative,52,21257,Random Forest,0.6724870625105025,0.0186584286214197,0.23157207356748266,,
cumulative,52,21257,XGBoost,0.6286591335106699,0.0,0.29996269941329956,,
cumulative,53,21996,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,53,21996,LightGBM,0.6446493858821911,0.0,0.2741722525749653,0.6357911200483272,0.6533262318638141
cumulative,53,21996,Logistic Regression,0.7122455125607772,0.0,0.2362146092326928,0.7051181496391724,0.7199072959456716
cumulative,53,21996,Random Forest,0.6868501184756969,0.0053681620989640055,0.22843948327828525,,
cumulative,53,21996,XGBoost,0.6597694428390874,0.0,0.25965943932533264,,
cumulative,54,22223,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,54,22223,LightGBM,0.6702156751010931,0.0,0.2729675787040758,0.6623538256287284,0.6773569910319969
cumulative,54,22223,Logistic Regression,0.7129644135479011,0.0,0.24003048012824132,0.7054228520830408,0.7203103372487413
cumulative,54,22223,Random Forest,0.6829260024091445,0.021880937499118746,0.23170746221628816,,
cumulative,54,22223,XGBoost,0.6873699539274268,0.0,0.2531518340110779,,
cumulative,55,22620,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,55,22620,LightGBM,0.6768596562749845,0.0,0.2659781382058886,0.6694717976470157,0.6847163502204652
cumulative,55,22620,Logistic Regression,0.7169147640555606,0.0,0.2209586285884012,0.7095640937618454,0.7244232775077711
cumulative,55,22620,Random Forest,0.6948907581980572,0.016736784389699895,0.2275084656796735,,
cumulative,55,22620,XGBoost,0.7171177128220765,0.0,0.24154727160930634,,
cumulative,56,23069,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,56,23069,LightGBM,0.6641217928368099,0.0,0.2610581610626891,0.6569269080583731,0.6722155368030029
cumulative,56,23069,Logistic Regression,0.7264618074946286,0.0,0.21261446223918656,0.7189051722819503,0.7337538230138613
cumulative,56,23069,Random Forest,0.7134959547223256,0.008542252232496106,0.2192577612540406,,
cumulative,56,23069,XGBoost,0.7066590882000492,0.0,0.2280745953321457,,
cumulative,57,23642,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,57,23642,LightGBM,0.6990599391540911,0.0,0.22859052803972743,0.6915332598488992,0.7066563573369684
cumulative,57,23642,Logistic Regression,0.7328675262384331,0.0,0.199456491396341,0.7259419438843497,0.7401998620267071
cumulative,57,23642,Random Forest,0.7135231159737961,0.018287950537646102,0.21737955971411402,,
cumulative,57,23642,XGBoost,0.7153136938951788,0.0,0.22011590003967285,,
cumulative,58,24211,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,58,24211,LightGBM,0.6922866634224466,0.0,0.22999438211070378,0.6851435046950997,0.6995399534696487
cumulative,58,24211,Logistic Regression,0.7367156588723333,0.0,0.19282323696557035,0.7292485874983367,0.7437757648222961
cumulative,58,24211,Random Forest,0.7258505330366084,0.007456584189483884,0.21292811006383272,,
cumulative,58,24211,XGBoost,0.6942284697968301,0.0,0.2280011922121048,,
cumulative,59,24907,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,59,24907,LightGBM,0.7026587309761517,0.0,0.2194191946362927,0.6949881921931095,0.710229254276519
cumulative,59,24907,Logistic Regression,0.7403264586039748,0.0,0.18255644836169557,0.7332463397475465,0.7478144957184917
cumulative,59,24907,Random Forest,0.7280671657632972,0.0013496198324636588,0.21305708422536554,,
cumulative,59,24907,XGBoost,0.7050773078947996,0.0,0.2252456694841385,,
cumulative,60,25856,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,60,25856,LightGBM,0.7180560242437178,0.0,0.21260566513962167,0.7109463307739993,0.725806127483623
cumulative,60,25856,Logistic Regression,0.7426960368085974,0.0,0.17969435511668905,0.7357435426033156,0.7496141921319305
cumulative,60,25856,Random Forest,0.7403697301269543,0.0015090131954114366,0.20759382447313401,,
cumulative,60,25856,XGBoost,0.7364810123753625,0.0,0.21692000329494476,,
cumulative,61,26849,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,61,26849,LightGBM,0.7313553297388303,0.0,0.2115615937880679,0.7251496973023603,0.73844619013036
cumulative,61,26849,Logistic Regression,0.7467249066804986,0.0,0.17948391529176944,0.7401787908086868,0.753636973482049
cumulative,61,26849,Random Forest,0.7387864732743973,0.0060211771149418,0.20768824901247918,,
cumulative,61,26849,XGBoost,0.7261529181781791,0.0,0.21644549071788788,,
cumulative,62,27845,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,62,27845,LightGBM,0.7114685279617388,0.0,0.2241852002378533,0.7037272281911846,0.7182589348749884
cumulative,62,27845,Logistic Regression,0.7499181470223921,0.0,0.175493531431513,0.7430426973291026,0.7567722636857075
cumulative,62,27845,Random Forest,0.7388230540711139,0.004860110479078631,0.20688426535920046,,
cumulative,62,27845,XGBoost,0.6937384852758249,0.0,0.24421760439872742,,
cumulative,63,28872,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,63,28872,LightGBM,0.7336531428684515,0.0,0.2130388523927191,0.7264240084623629,0.7403210743876086
cumulative,63,28872,Logistic Regression,0.7474098252850264,0.0,0.18145324020153464,0.7405007600287355,0.7541221964940148
cumulative,63,28872,Random Forest,0.7240327098509991,0.0014010050880555614,0.21052211420056152,,
cumulative,63,28872,XGBoost,0.701208357330548,0.0,0.24690866470336914,,
cumulative,64,29771,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,64,29771,LightGBM,0.7308467920768124,0.0,0.21145264405209066,0.7242556079722365,0.7372573520218049
cumulative,64,29771,Logistic Regression,0.7484613144264558,0.0,0.19065621100708605,0.7412834380740964,0.7554102537318523
cumulative,64,29771,Random Forest,0.7416005032640035,0.012581141422524119,0.20572122577944593,,
cumulative,64,29771,XGBoost,0.6832093487679834,0.0,0.24551254510879517,,
cumulative,65,30821,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,65,30821,LightGBM,0.7391023457030025,0.0,0.20786861968655032,0.7325652586789284,0.7460361573840548
cumulative,65,30821,Logistic Regression,0.7517263485679754,0.0,0.18430923787325512,0.7449034889999611,0.7588001097877864
cumulative,65,30821,Random Forest,0.7450850315936285,0.014970778833526228,0.2027382419037643,,
cumulative,65,30821,XGBoost,0.7127701522396596,0.0,0.22484257817268372,,
cumulative,66,32162,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,66,32162,LightGBM,0.74308311817965,0.0,0.2007027388540649,0.736415801961011,0.7493087043576542
cumulative,66,32162,Logistic Regression,0.7491547273318547,0.0,0.212581066531193,0.7421532329546245,0.7565619077502606
cumulative,66,32162,Random Forest,0.7617128631273843,0.005355159196037619,0.19395865552110703,,
cumulative,66,32162,XGBoost,0.7417509669016885,0.0,0.2081943303346634,,
cumulative,67,33165,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,67,33165,LightGBM,0.7673579327951522,0.0,0.18433997493134738,0.7610743973064705,0.7733991303010889
cumulative,67,33165,Logistic Regression,0.7585534195153515,0.0,0.1791840737027173,0.7508710190853221,0.7663046307242644
cumulative,67,33165,Random Forest,0.7593206449190789,0.007675351797150698,0.19405796634840944,,
cumulative,67,33165,XGBoost,0.7360874789203337,0.0,0.22412025928497314,,
cumulative,68,34435,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,68,34435,LightGBM,0.770654327150852,0.0,0.18034489822803038,0.7646169524602999,0.7765445503669138
cumulative,68,34435,Logistic Regression,0.7625049983837465,0.0,0.17473754087180515,0.7558489354203692,0.7696593222109022
cumulative,68,34435,Random Forest,0.7516915053188385,0.0013644953922649368,0.19362334420919217,,
cumulative,68,34435,XGBoost,0.7359352001323577,0.0,0.2042062133550644,,
cumulative,69,35611,Dummy,0.38697864182662767,0.0,0.38697864182662767,,
cumulative,69,35611,LightGBM,0.7706036199986759,0.0,0.18052274312827402,0.7643452083105315,0.7763567538380537
cumulative,69,35611,Logistic Regression,0.763829038349653,0.0,0.1774873251335242,0.7569781577478456,0.7704760914472341
