archetype,archetype_label,walk_difficulty,initial_offer,n_runs,accept_rate,counter_mean,r1_parse_ok
A,Business Solo,low,62.0,10,1.0,112.0,1.0
A,Business Solo,low,101.0,10,0.9,135.0,1.0
A,Business Solo,low,144.0,10,1.0,,1.0
D,Budget OTA,low,29.0,10,0.1,54.0,1.0
D,Budget OTA,low,46.0,10,0.7,67.0,1.0
D,Budget OTA,low,66.0,10,0.5,90.0,1.0
